url,file,status,content_type
https://primer-finance.test/nasveti/1/,P06.html,200,text/html
https://primer-finance.test/nasveti/2/,P07.html,200,text/html
https://primer-finance.test/nasveti/3/,P08.html,200,text/html
https://primer-finance.test/nasveti/4/,P09.html,200,text/html
https://primer-finance.test/nasveti/5/,P10.html,200,text/html
https://primer-finance.test/o-nas/1/,P21.html,200,text/html
https://primer-finance.test/o-nas/2/,P22.html,200,text/html
https://primer-finance.test/o-nas/3/,P23.html,200,text/html
https://primer-finance.test/o-nas/4/,P24.html,200,text/html
https://primer-finance.test/o-nas/5/,P25.html,200,text/html
https://primer-finance.test/obrazci/1/,P16.html,200,text/html
https://primer-finance.test/obrazci/2/,P17.html,200,text/html
https://primer-finance.test/obrazci/3/,P18.html,200,text/html
https://primer-finance.test/obrazci/4/,P19.html,200,text/html
https://primer-finance.test/obrazci/5/,P20.html,200,text/html
https://primer-finance.test/poslovalnice/1/,P11.html,200,text/html
https://primer-finance.test/poslovalnice/2/,P12.html,200,text/html
https://primer-finance.test/poslovalnice/3/,P13.html,200,text/html
https://primer-finance.test/poslovalnice/4/,P14.html,200,text/html
https://primer-finance.test/poslovalnice/5/,P15.html,200,text/html
https://primer-finance.test/storitve/1/,P01.html,200,text/html
https://primer-finance.test/storitve/2/,P02.html,200,text/html
https://primer-finance.test/storitve/3/,P03.html,200,text/html
https://primer-finance.test/storitve/4/,P04.html,200,text/html
https://primer-finance.test/storitve/5/,P05.html,200,text/html
